State,Common name,Scientific name,Image
Karnataka,Indian roller,Coracias benghalensis,"<a class=""image"" href=""/wiki/File:Indian_Roller_(Coracias_benghalensis)_Photograph_By_Shantanu_Kuveskar.jpg""><img alt=""Indian Roller (Coracias benghalensis) Photograph By Shantanu Kuveskar.jpg"" data-file-height=""520"" data-file-width=""404"" decoding=""async"" height=""257"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/200px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/300px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/400px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg 2x"" width=""200""/></a>"
Kerala,Great Indian hornbill,Buceros bicornis,"<a class=""image"" href=""/wiki/File:Great-Hornbill.jpg""><img alt=""Great-Hornbill.jpg"" data-file-height=""499"" data-file-width=""600"" decoding=""async"" height=""166"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Great-Hornbill.jpg/200px-Great-Hornbill.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Great-Hornbill.jpg/300px-Great-Hornbill.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Great-Hornbill.jpg/400px-Great-Hornbill.jpg 2x"" width=""200""/></a>"
Madhya Pradesh,Indian paradise flycatcher,Terpsiphone paradisi,"<a class=""image"" href=""/wiki/File:Asian_Paradise_Flycatcher.jpg""><img alt=""Asian Paradise Flycatcher.jpg"" data-file-height=""498"" data-file-width=""480"" decoding=""async"" height=""208"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Asian_Paradise_Flycatcher.jpg/200px-Asian_Paradise_Flycatcher.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/1/14/Asian_Paradise_Flycatcher.jpg/300px-Asian_Paradise_Flycatcher.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/1/14/Asian_Paradise_Flycatcher.jpg/400px-Asian_Paradise_Flycatcher.jpg 2x"" width=""200""/></a>"
Maharashtra,Yellow-footed green pigeon,Treron phoenicoptera,"<a class=""image"" href=""/wiki/File:Yellow-footed_Green-Pigeon_(Treron_phoenicopterus)_male-8.jpg""><img alt=""Yellow-footed Green-Pigeon (Treron phoenicopterus) male-8.jpg"" data-file-height=""800"" data-file-width=""640"" decoding=""async"" height=""250"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Yellow-footed_Green-Pigeon_%28Treron_phoenicopterus%29_male-8.jpg/200px-Yellow-footed_Green-Pigeon_%28Treron_phoenicopterus%29_male-8.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Yellow-footed_Green-Pigeon_%28Treron_phoenicopterus%29_male-8.jpg/300px-Yellow-footed_Green-Pigeon_%28Treron_phoenicopterus%29_male-8.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Yellow-footed_Green-Pigeon_%28Treron_phoenicopterus%29_male-8.jpg/400px-Yellow-footed_Green-Pigeon_%28Treron_phoenicopterus%29_male-8.jpg 2x"" width=""200""/></a>"
Manipur,Mrs. Hume's pheasant,Syrmaticus humiae,"<a class=""image"" href=""/wiki/File:Syrmaticus_humiae.jpg""><img alt=""Syrmaticus humiae.jpg"" data-file-height=""491"" data-file-width=""719"" decoding=""async"" height=""137"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Syrmaticus_humiae.jpg/200px-Syrmaticus_humiae.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Syrmaticus_humiae.jpg/300px-Syrmaticus_humiae.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Syrmaticus_humiae.jpg/400px-Syrmaticus_humiae.jpg 2x"" width=""200""/></a>"
Meghalaya,Hill myna,Gracula religiosa peninsularis,"<a class=""image"" href=""/wiki/File:Gracula_religiosa_robusta-01.JPG""><img alt=""Gracula religiosa robusta-01.JPG"" data-file-height=""3454"" data-file-width=""2590"" decoding=""async"" height=""267"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/200px-Gracula_religiosa_robusta-01.JPG"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/300px-Gracula_religiosa_robusta-01.JPG 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/400px-Gracula_religiosa_robusta-01.JPG 2x"" width=""200""/></a>"
Mizoram,Mrs. Hume's pheasant,Syrmaticus humiae,"<a class=""image"" href=""/wiki/File:Syrmaticus_humiae.jpg""><img alt=""Syrmaticus humiae.jpg"" data-file-height=""491"" data-file-width=""719"" decoding=""async"" height=""137"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Syrmaticus_humiae.jpg/200px-Syrmaticus_humiae.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Syrmaticus_humiae.jpg/300px-Syrmaticus_humiae.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Syrmaticus_humiae.jpg/400px-Syrmaticus_humiae.jpg 2x"" width=""200""/></a>"
Nagaland,Blyth's tragopan,Tragopan blythii,"<a class=""image"" href=""/wiki/File:Tragopan_blythii01.jpg""><img alt=""Tragopan blythii01.jpg"" data-file-height=""325"" data-file-width=""514"" decoding=""async"" height=""126"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Tragopan_blythii01.jpg/200px-Tragopan_blythii01.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Tragopan_blythii01.jpg/300px-Tragopan_blythii01.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Tragopan_blythii01.jpg/400px-Tragopan_blythii01.jpg 2x"" width=""200""/></a>"
Odisha,Indian roller,Coracias benghalensis,"<a class=""image"" href=""/wiki/File:Indian_Roller_(Coracias_benghalensis)_Photograph_By_Shantanu_Kuveskar.jpg""><img alt=""Indian Roller (Coracias benghalensis) Photograph By Shantanu Kuveskar.jpg"" data-file-height=""520"" data-file-width=""404"" decoding=""async"" height=""257"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/200px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/300px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/400px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg 2x"" width=""200""/></a>"
Punjab,Northern goshawk,Accipiter gentilis,"<a class=""image"" href=""/wiki/File:Northern_Goshawk_ad_M2.jpg""><img alt=""Northern Goshawk ad M2.jpg"" data-file-height=""1461"" data-file-width=""895"" decoding=""async"" height=""326"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/200px-Northern_Goshawk_ad_M2.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/300px-Northern_Goshawk_ad_M2.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/400px-Northern_Goshawk_ad_M2.jpg 2x"" width=""200""/></a>"
Rajasthan,Great Indian bustard,Ardeotis nigriceps,"<a class=""image"" href=""/wiki/File:Great_Indian_bustard.jpg""><img alt=""Great Indian bustard.jpg"" data-file-height=""613"" data-file-width=""900"" decoding=""async"" height=""136"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Great_Indian_bustard.jpg/200px-Great_Indian_bustard.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Great_Indian_bustard.jpg/300px-Great_Indian_bustard.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/8/80/Great_Indian_bustard.jpg/400px-Great_Indian_bustard.jpg 2x"" width=""200""/></a>"
Sikkim,Blood pheasant,Ithaginis cruentus,"<a class=""image"" href=""/wiki/File:Blood_Pheasant.jpg""><img alt=""Blood Pheasant.jpg"" data-file-height=""1720"" data-file-width=""2250"" decoding=""async"" height=""153"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Blood_Pheasant.jpg/200px-Blood_Pheasant.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Blood_Pheasant.jpg/300px-Blood_Pheasant.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Blood_Pheasant.jpg/400px-Blood_Pheasant.jpg 2x"" width=""200""/></a>"
Tamil Nadu,Emerald dove,Chalcophaps indica,"<a class=""image"" href=""/wiki/File:Chalcophaps_indica_-a_pair_in_captivity-8a.jpg""><img alt=""Chalcophaps indica -a pair in captivity-8a.jpg"" data-file-height=""2592"" data-file-width=""3888"" decoding=""async"" height=""133"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chalcophaps_indica_-a_pair_in_captivity-8a.jpg/200px-Chalcophaps_indica_-a_pair_in_captivity-8a.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chalcophaps_indica_-a_pair_in_captivity-8a.jpg/300px-Chalcophaps_indica_-a_pair_in_captivity-8a.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/3/33/Chalcophaps_indica_-a_pair_in_captivity-8a.jpg/400px-Chalcophaps_indica_-a_pair_in_captivity-8a.jpg 2x"" width=""200""/></a>"
Telangana,Indian roller,Coracias benghalensis,"<a class=""image"" href=""/wiki/File:Indian_Roller_(Coracias_benghalensis)_Photograph_By_Shantanu_Kuveskar.jpg""><img alt=""Indian Roller (Coracias benghalensis) Photograph By Shantanu Kuveskar.jpg"" data-file-height=""520"" data-file-width=""404"" decoding=""async"" height=""257"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/200px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/300px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/0/08/Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg/400px-Indian_Roller_%28Coracias_benghalensis%29_Photograph_By_Shantanu_Kuveskar.jpg 2x"" width=""200""/></a>"
Tripura,Green imperial pigeon,Ducula aenea,"<a class=""image"" href=""/wiki/File:DuculaAenea.JPG""><img alt=""DuculaAenea.JPG"" data-file-height=""798"" data-file-width=""1200"" decoding=""async"" height=""133"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/1/17/DuculaAenea.JPG/200px-DuculaAenea.JPG"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/1/17/DuculaAenea.JPG/300px-DuculaAenea.JPG 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/1/17/DuculaAenea.JPG/400px-DuculaAenea.JPG 2x"" width=""200""/></a>"
Uttar Pradesh,Sarus crane,Grus antigone,"<a class=""image"" href=""/wiki/File:Saus_Crane_I_IMG_8663.jpg""><img alt=""Saus Crane I IMG 8663.jpg"" data-file-height=""600"" data-file-width=""800"" decoding=""async"" height=""150"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Saus_Crane_I_IMG_8663.jpg/200px-Saus_Crane_I_IMG_8663.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Saus_Crane_I_IMG_8663.jpg/300px-Saus_Crane_I_IMG_8663.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Saus_Crane_I_IMG_8663.jpg/400px-Saus_Crane_I_IMG_8663.jpg 2x"" width=""200""/></a>"
Uttarakhand,Himalayan monal,Lophophorus impejanus,"<a class=""image"" href=""/wiki/File:Himalayan_Monal_on_Snow.jpg""><img alt=""Himalayan Monal on Snow.jpg"" data-file-height=""1658"" data-file-width=""2329"" decoding=""async"" height=""142"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Himalayan_Monal_on_Snow.jpg/200px-Himalayan_Monal_on_Snow.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/8/86/Himalayan_Monal_on_Snow.jpg/300px-Himalayan_Monal_on_Snow.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/8/86/Himalayan_Monal_on_Snow.jpg/400px-Himalayan_Monal_on_Snow.jpg 2x"" width=""200""/></a>"
West Bengal,White-breasted kingfisher,Halcyon smyrnensis,"<a class=""image"" href=""/wiki/File:White-throated_kingfisher_BNC.jpg""><img alt=""White-throated kingfisher BNC.jpg"" data-file-height=""2000"" data-file-width=""3020"" decoding=""async"" height=""132"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/White-throated_kingfisher_BNC.jpg/200px-White-throated_kingfisher_BNC.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/3/3a/White-throated_kingfisher_BNC.jpg/300px-White-throated_kingfisher_BNC.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/3/3a/White-throated_kingfisher_BNC.jpg/400px-White-throated_kingfisher_BNC.jpg 2x"" width=""200""/></a>"
